Kommentarer (0-5),Kvinne,Musescore,Melodi,Komponist,Levde når,Lyrikk,Unnamed: 7,Når komponert,Unnamed: 9,Unnamed: 10,Diverse kommentarer,Egne noter,Forlag,Platenr.,Unnamed: 15
4,,x,Victoria-Gavotte,"Diamand, Josef",1858 - 1942,,,1888,Op. 21,,,,Carl Warmuth,1350,
5,K,x,Burleske,"Droucker, Sandra",1875 - 1944,,,Before april 1933,,,,,,,
2,K,x,Christmas-Day Secrets,"Dutton, Theodora",1870 - 1934,,,1906,,,,Internet,G. Schirmer,,
,,,Kawama,"Dyberg, Ella",,,,,,,,,,,
5,,x,Lille Kronprins Olav,Trad (div),,"Ebbel, Bendix",1869 - 1937,1905,Illustratør Fredrik Bødker,,,,Norsk Aktieforlag,,
5,,x,Doris Polka,"Eckert, Wenzel",1840 - 1901,,,1875,,,,,Carl Warmuth,213,
5,,x,La Fauvette,"Egghard, Julius",1834 - 1867,,,1867,Opus 248,,,,,,
,K,x,En Vaardrøm,"Egeberg, Anna Louise (Knudsen)",1896 - 1972,,,1919,,,,,Norsk Musikforlag,6051,
3,K,x,Isle of my dreams,"Egeberg, Anna Louise (Knudsen)",1896 - 1972,"Liebich, Inga Lærum",1864 - 1936,1927,,,,,Musikcentralens forlag,172,
3,,x,Sonofret,"Egeberg, Anna Louise (Knudsen)",1896 - 1972,Edin Holme,1865 - 1927,1922,,,,,,,
0,K,x,I Folketone (No 2),"Egeberg, Anna Sophie",1843 - 1914,,,,,,,,,,
1,K,x,I Folketone (No 3),"Egeberg, Anna Sophie",1843 - 1914,,,,,,,,,,
,K,x,Skizze,"Egeberg, Anna Sophie",1843 - 1914,,,1893,,,,,Carl Warmuth,1941,
0,K,x,Springdans,"Egeberg, Anna Sophie",1843 - 1914,,,1891,,,,,,,
2,K,x,Tarantella,"Egeberg, Anna Sophie",1843 - 1914,,,1891,,,,PDF,Carl Warmuth,1732,
2,K,x,Ungbirken,"Egeberg, Anna Sophie",1843 - 1914,"Moe, Jørgen",1813 - 1882,1891,,,,,Carl Warmuth,1729,
,K,,Wasserfluth,"Egeberg, Anna Sophie",1843 - 1914,,,,,,,,,,
3,K,x,Aftensang,"Egeberg, Fredrikke",1815 - 1861,,,1853,,,,,,,
5,K,x,"Herre, tag i din sterke Haand","Egeberg, Fredrikke",1815 - 1861,Bjørnstjerne Bjørnson,1832- 1910,1860,"""From ""Arne"".",,,,,,
,K,,Julemorgen,"Egeberg, Fredrikke",1815 - 1861,Johan Sebastian Welhaven,1807 - 1873,,,,,,,,
4,K,x,Killebukken,"Egeberg, Fredrikke",1815 - 1861,Bjørnstjerne Bjørnson,1832- 1910,1860,"""From ""Arne"".",,,,,,
,K,,Seks sange uden Ord,"Egeberg, Fredrikke",1815 - 1861,,,,,,,,,,
,K,x,To sanger,"Egeberg, Fredrikke",1815 - 1861,Johan Sebastian Welhaven,1807 - 1873,1849,,,,,,,
,K,,Treet,"Egeberg, Fredrikke",1815 - 1861,Bjørnstjerne Bjørnson,1832- 1910,1860,,,,,,,
,,x,Juletreet,"Egge, Ragnvald",1894 - 1970,Johan Sverdrup Holt,1876 - 1945,Dagbladet 24. dec. 1924,,,,,,,
2,K,x,I godt Humör,"Egholdt, Ragnhild (f. Glesne?)",1892 - 1989,,,1912,,,,,,,
4,,x,Rida Ranka,"Ekenberg, August",1864 - 1935,"Hallbäck, Hans Henric",1838 - 1885,1893,,,,,,,
2,,x,Barnesmil,"Elling, Catharinus",1858 - 1942,,,1885,,,,,Carl Warmuth,1000,
4,,x,Eg veit ei liti gjenta,"Elling, Catharinus",1858 - 1942,Georg Robert Schirmer,1845 - 1917,1909,"""Fem sange"" ",,,,Oluf By,398,
,,,Norsk Militærmarsch,"Elling, Catharinus",1858 - 1942,,,1910,,,,,Oluf By,1245,
