Unnamed: 0,Melodi,Komponist,Levde når,Lyrikk,Levde når.1,Når komponert,Diverse,Diverse.1,Dublett?,Forlag,Nr.,Unnamed: 12
,Aftenfred,"Guldahl, Asbjørn",1907 - 1972,Torleif Larssen,1899 - 1967,1933,,,,Norsk Notestik og Forlag,387,
,Albertine,"Guldahl, Asbjørn",1907 - 1972,"Rosenlind, Olaf",1908 - 1990,1935,,,,Norsk Musikforlag,6928,
,Bare du,"Guldahl, Asbjørn",1907 - 1972,F. B.,,1935,,,,Norsk Notestik og Forlag,,
,Carina,"Guldahl, Asbjørn",1907 - 1972,W. Ross (Asbjørn Guldahl?),,1943,,,,Presto forlag,,
,Carl Anton,"Guldahl, Asbjørn",1907 - 1972,"Carlsen, Bjørn",,1937,,,,Norsk Notestik og Forlag,1821,
,De ensomme gamle,"Guldahl, Asbjørn",1907 - 1972,Tola (Torleif Larssen),1899 - 1967,1932,,,,,,
,Det var sangen jeg lærte,"Guldahl, Asbjørn",1907 - 1972,W. Ross (Asbjørn Guldahl?),,1943,,,,,,
,Ditt smil,"Guldahl, Asbjørn",1907 - 1972,Alf Rød,1894 - 1969,1936,Ref. forside,,,Norsk Musikforlag,6938,
,Drømmen om Hawaii,"Guldahl, Asbjørn",1907 - 1972,Torleif Larssen,1899 - 1967,1933,,,,,,
,Engang skal vi møtes på ny,"Guldahl, Asbjørn",1907 - 1972,Asbjørn Guldahl,1907 - 1972,1941,,,,Norsk Notestik og Forlag,1928,
,Flax,"Guldahl, Asbjørn",1907 - 1972,"Torleif Larssen (""Tola"")",1899 - 1967,1930,,,,,,
,Går du alene,"Guldahl, Asbjørn",1907 - 1972,Asbjørn Guldahl,1907 - 1972,1943,,,2,,,
,Hawaii-natt,"Guldahl, Asbjørn",1907 - 1972,J. Rudolf,,,,,,,,
,Jeg elsker dig Zigøiner,"Guldahl, Asbjørn",1907 - 1972,"Rosenlind, Olaf",1908 - 1990,1935,,,,,,
,Jeg er en tater,"Guldahl, Asbjørn",1907 - 1972,"Torleif Larssen (""Tola"")",1899 - 1967,1934,,,,,,
,Jeg er sigøyner,"Guldahl, Asbjørn",1907 - 1972,J. Rudolf,,,,,,,,
,Madrid,"Guldahl, Asbjørn",1907 - 1972,"Torleif Larssen (""Tola"")",1899 - 1967,1935,,,,Norsk Notestik og Forlag,454,
x,Månenatt,"Guldahl, Asbjørn",1907 - 1972,"Torleif Larssen (""Tola"")",1899 - 1967,1932,,,2,Norsk Notestik og Forlag,357,
,Opiumsdrøm,"Guldahl, Asbjørn",1907 - 1972,"Torleif Larssen (""Tola"")",1899 - 1967,1931,,,,Norsk Musikforlag,6857,
,Osloprinsessens Vals,"Guldahl, Asbjørn",1907 - 1972,"T. Larssen, A. Guldahl, A. Engh",,1935,,,,Norsk Notestik og Forlag,425,
,Si mig godnatt nu,"Guldahl, Asbjørn",1907 - 1972,"Torleif Larssen (""Tola"")",1899 - 1967,1932,,,,,,
,Vinterkveld,"Guldahl, Asbjørn",1907 - 1972,"Torleif Larssen (""Tola"")",1899 - 1967,,,,,,,
,Vårblomster,"Guldahl, Asbjørn",1907 - 1972,Morten,,1931,,,,,,
,Blomsterhaven,"Guldahl, Asbjørn  & Svendsen, Kolbjørn",,Torleif Larssen,1899 - 1967,1934,,,,Norsk Musikforlag,6912,
